object_level;object_name;gender;year;education_level;study_area;count_graduate;percent_employed;average_salary;oktmo;okato
Страна;Российская Федерация;Всего;2023;СПО: специалисты среднего звена;Сельское хозяйство и сельскохозяйственные науки;26953;48.17804835;46533.12315;00000000;00000000
Страна;Российская Федерация;Всего;2019;СПО: квалифицированные рабочие и служащие;Гуманитарные науки;1099;67.51054852;39979.03068;00000000;00000000
Страна;Российская Федерация;Всего;2019;СПО: квалифицированные рабочие и служащие;Здравоохранение и медицинские науки;869;65.62986003;35459.26454;00000000;00000000
Страна;Российская Федерация;Всего;2019;СПО: квалифицированные рабочие и служащие;Инженерное дело, технологии и технические науки;88456;70.9260875;58281.53739;00000000;00000000
Страна;Российская Федерация;Всего;2019;СПО: квалифицированные рабочие и служащие;Искусство и культура;2201;67.42224565;47200.25681;00000000;00000000
Страна;Российская Федерация;Всего;2019;СПО: квалифицированные рабочие и служащие;Математические и естественные науки;54;78.57142857;58974.71121;00000000;00000000
Страна;Российская Федерация;Всего;2019;СПО: квалифицированные рабочие и служащие;Науки об обществе;15378;66.43173727;39171.58462;00000000;00000000
Страна;Российская Федерация;Всего;2019;СПО: квалифицированные рабочие и служащие;Сельское хозяйство и сельскохозяйственные науки;13822;69.49791466;55657.25989;00000000;00000000
Страна;Российская Федерация;Всего;2020;СПО: квалифицированные рабочие и служащие;Гуманитарные науки;1002;58.95610913;39417.47101;00000000;00000000
Страна;Российская Федерация;Всего;2020;СПО: квалифицированные рабочие и служащие;Здравоохранение и медицинские науки;972;55.60407569;36883.63903;00000000;00000000
Страна;Российская Федерация;Всего;2020;СПО: квалифицированные рабочие и служащие;Инженерное дело, технологии и технические науки;92541;68.34581348;56820.27332;00000000;00000000
Страна;Российская Федерация;Всего;2020;СПО: квалифицированные рабочие и служащие;Искусство и культура;2240;62.07081545;45345.99229;00000000;00000000
Страна;Российская Федерация;Всего;2020;СПО: квалифицированные рабочие и служащие;Математические и естественные науки;48;70.73170732;68608.53926;00000000;00000000
Страна;Российская Федерация;Всего;2020;СПО: квалифицированные рабочие и служащие;Науки об обществе;14852;63.52031238;38251.73942;00000000;00000000
Страна;Российская Федерация;Всего;2020;СПО: квалифицированные рабочие и служащие;Сельское хозяйство и сельскохозяйственные науки;14160;66.43676379;52942.71601;00000000;00000000
Страна;Российская Федерация;Всего;2021;СПО: квалифицированные рабочие и служащие;Гуманитарные науки;1112;59.43820225;37813.8667;00000000;00000000
